fx_date,base_currency,quote_currency,rate,loaded_at
2019-01-31,EUR,USD,1.1488,2026-02-23T12:39:35.639101
2019-02-28,EUR,USD,1.1416,2026-02-23T12:39:36.358523
2019-03-29,EUR,USD,1.1235,2026-02-23T12:39:37.121183
2019-04-30,EUR,USD,1.1218,2026-02-23T12:39:37.964314
2019-05-31,EUR,USD,1.1151,2026-02-23T12:39:38.771154
2019-06-28,EUR,USD,1.138,2026-02-23T12:39:39.632109
2019-07-31,EUR,USD,1.1151,2026-02-23T12:39:40.367677
2019-08-30,EUR,USD,1.1036,2026-02-23T12:39:41.119980
2019-09-30,EUR,USD,1.0889,2026-02-23T12:39:41.860296
2019-10-31,EUR,USD,1.1154,2026-02-23T12:39:42.616580
2019-11-29,EUR,USD,1.0982,2026-02-23T12:39:43.344091
2019-12-31,EUR,USD,1.1234,2026-02-23T12:39:44.074473
2020-01-31,EUR,USD,1.1052,2026-02-23T12:39:44.804390
2020-02-28,EUR,USD,1.0977,2026-02-23T12:39:45.500267
2020-03-31,EUR,USD,1.0956,2026-02-23T12:39:46.288475
2020-04-30,EUR,USD,1.0876,2026-02-23T12:39:47.279014
2020-05-29,EUR,USD,1.1136,2026-02-23T12:39:48.241994
2020-06-30,EUR,USD,1.1198,2026-02-23T12:39:49.196906
2020-07-31,EUR,USD,1.1848,2026-02-23T12:39:50.244261
2020-08-31,EUR,USD,1.194,2026-02-23T12:39:51.269115
2020-09-30,EUR,USD,1.1708,2026-02-23T12:39:52.379758
2020-10-30,EUR,USD,1.1698,2026-02-23T12:39:53.417137
2020-11-30,EUR,USD,1.198,2026-02-23T12:39:54.396125
2020-12-31,EUR,USD,1.2271,2026-02-23T12:39:55.429550
2021-01-29,EUR,USD,1.2136,2026-02-23T12:39:56.430485
2021-02-26,EUR,USD,1.2121,2026-02-23T12:39:57.455218
2021-03-31,EUR,USD,1.1725,2026-02-23T12:39:58.465646
2021-04-30,EUR,USD,1.2082,2026-02-23T12:39:59.463492
2021-05-31,EUR,USD,1.2201,2026-02-23T12:40:00.921130
2021-06-30,EUR,USD,1.1884,2026-02-23T12:40:02.467528
2021-07-30,EUR,USD,1.1891,2026-02-23T12:40:03.532760
2021-08-31,EUR,USD,1.1834,2026-02-23T12:40:04.553616
2021-09-30,EUR,USD,1.1579,2026-02-23T12:40:05.655701
2021-10-29,EUR,USD,1.1645,2026-02-23T12:40:06.705648
2021-11-30,EUR,USD,1.1363,2026-02-23T12:40:08.693858
2021-12-31,EUR,USD,1.1326,2026-02-23T12:40:09.875545
2022-01-31,EUR,USD,1.1156,2026-02-23T12:40:10.912161
2022-02-28,EUR,USD,1.1199,2026-02-23T12:40:11.914000
2022-03-31,EUR,USD,1.1101,2026-02-23T12:40:12.880549
2022-04-29,EUR,USD,1.054,2026-02-23T12:40:13.844916
2022-05-31,EUR,USD,1.0713,2026-02-23T12:40:14.824672
2022-06-30,EUR,USD,1.0387,2026-02-23T12:40:15.786593
