expense_id,date,category,department,vendor,amount_mad,currency,type
EXP000000001,2019-01-01,Rent,Facilities,Office landlord,11892.93,MAD,Fixed
EXP000000002,2019-01-01,Software,IT,Microsoft,4235.23,MAD,Fixed
EXP000000003,2019-01-01,Travel,Operations,Meta,1307.46,MAD,Variable
EXP000000004,2019-01-02,ProfessionalServices,Admin,Local supplier,1060.42,MAD,Variable
EXP000000005,2019-01-02,Logistics,Operations,Tax authority,692.28,MAD,Variable
EXP000000006,2019-01-03,Software,IT,DHL,1020.87,MAD,Variable
EXP000000007,2019-01-03,ProfessionalServices,Admin,Meta,1328.58,MAD,Variable
EXP000000008,2019-01-03,Utilities,Facilities,Tax authority,510.12,MAD,Variable
EXP000000009,2019-01-04,Marketing,Growth,Local supplier,535.55,MAD,Variable
EXP000000010,2019-01-05,Logistics,Operations,Meta,153.86,MAD,Variable
EXP000000011,2019-01-06,Marketing,Growth,Local supplier,951.62,MAD,Variable
EXP000000012,2019-01-07,Marketing,Growth,Maroc Telecom,947.96,MAD,Variable
EXP000000013,2019-01-08,Software,IT,Tax authority,876.05,MAD,Variable
EXP000000014,2019-01-08,Supplies,Operations,ONCF,1656.81,MAD,Variable
EXP000000015,2019-01-08,Logistics,Operations,Microsoft,2531.83,MAD,Variable
EXP000000016,2019-01-08,Utilities,Facilities,KPMG,1943.18,MAD,Variable
EXP000000017,2019-01-08,Supplies,Operations,DHL,1881.16,MAD,Variable
EXP000000018,2019-01-09,ProfessionalServices,Admin,Deloitte,442.04,MAD,Variable
EXP000000019,2019-01-09,Utilities,Facilities,Deloitte,1641.36,MAD,Variable
EXP000000020,2019-01-10,Marketing,Growth,Air Maroc,2548.33,MAD,Variable
EXP000000021,2019-01-11,Taxes,Admin,KPMG,341.58,MAD,Variable
EXP000000022,2019-01-11,ProfessionalServices,Admin,AWS,959.17,MAD,Variable
EXP000000023,2019-01-11,Marketing,Growth,KPMG,1322.96,MAD,Variable
EXP000000024,2019-01-12,Logistics,Operations,Tax authority,1232.48,MAD,Variable
EXP000000025,2019-01-13,Utilities,Facilities,Tax authority,1318.6,MAD,Variable
EXP000000026,2019-01-15,Travel,Operations,Air Maroc,796.42,MAD,Variable
EXP000000027,2019-01-15,Taxes,Admin,KPMG,575.86,MAD,Variable
EXP000000028,2019-01-15,Utilities,Facilities,Microsoft,342.57,MAD,Variable
EXP000000029,2019-01-16,Utilities,Facilities,Microsoft,297.53,MAD,Variable
EXP000000030,2019-01-16,Taxes,Admin,Office landlord,413.48,MAD,Variable
EXP000000031,2019-01-18,Taxes,Admin,Orange,1122.85,MAD,Variable
EXP000000032,2019-01-18,Utilities,Facilities,Office landlord,1242.98,MAD,Variable
EXP000000033,2019-01-19,Utilities,Facilities,Microsoft,727.68,MAD,Variable
EXP000000034,2019-01-20,Logistics,Operations,Office landlord,1298.29,MAD,Variable
EXP000000035,2019-01-21,Logistics,Operations,Tax authority,96.07,MAD,Variable
EXP000000036,2019-01-22,Software,IT,Orange,135.27,MAD,Variable
EXP000000037,2019-01-22,Travel,Operations,Orange,294.92,MAD,Variable
EXP000000038,2019-01-23,Travel,Operations,ONCF,129.59,MAD,Variable
EXP000000039,2019-01-23,Logistics,Operations,Office landlord,800.57,MAD,Variable
EXP000000040,2019-01-23,Travel,Operations,DHL,932.22,MAD,Variable
EXP000000041,2019-01-24,Taxes,Admin,AWS,1179.46,MAD,Variable
EXP000000042,2019-01-25,ProfessionalServices,Admin,AWS,867.09,MAD,Variable
EXP000000043,2019-01-26,Utilities,Facilities,AWS,1762.77,MAD,Variable
EXP000000044,2019-01-27,Marketing,Growth,AWS,446.68,MAD,Variable
EXP000000045,2019-01-27,Taxes,Admin,Air Maroc,1054.13,MAD,Variable
EXP000000046,2019-01-27,Taxes,Admin,AWS,403.12,MAD,Variable
EXP000000047,2019-01-28,Salaries,RH,Payroll,40069.56,MAD,Fixed
EXP000000048,2019-01-28,ProfessionalServices,Admin,Meta,1404.14,MAD,Variable
EXP000000049,2019-01-28,Taxes,Admin,Air Maroc,305.09,MAD,Variable
EXP000000050,2019-01-28,Supplies,Operations,DHL,1317.58,MAD,Variable
EXP000000051,2019-01-30,Salaries,RH,Payroll,50272.54,MAD,Fixed
EXP000000052,2019-01-30,Software,IT,Meta,637.56,MAD,Variable
EXP000000053,2019-01-30,Travel,Operations,ONCF,724.36,MAD,Variable
EXP000000054,2019-01-30,Utilities,Facilities,Orange,932.02,MAD,Variable
EXP000000055,2019-01-31,Salaries,RH,Payroll,41996.17,MAD,Fixed
EXP000000056,2019-01-31,Travel,Operations,Tax authority,1861.6,MAD,Variable
EXP000000057,2019-01-31,Supplies,Operations,Orange,912.94,MAD,Variable
EXP000000058,2019-01-31,Travel,Operations,KPMG,1221.09,MAD,Variable
EXP000000059,2019-02-01,Rent,Facilities,Office landlord,12015.11,MAD,Fixed
EXP000000060,2019-02-01,Software,IT,Microsoft,6423.58,MAD,Fixed
EXP000000061,2019-02-01,ProfessionalServices,Admin,Microsoft,112.34,MAD,Variable
EXP000000062,2019-02-02,Software,IT,Tax authority,2519.07,MAD,Variable
EXP000000063,2019-02-02,Utilities,Facilities,Air Maroc,1961.14,MAD,Variable
EXP000000064,2019-02-02,Utilities,Facilities,Google,2038.4,MAD,Variable
EXP000000065,2019-02-02,ProfessionalServices,Admin,Local supplier,505.28,MAD,Variable
EXP000000066,2019-02-04,Utilities,Facilities,Deloitte,120.26,MAD,Variable
EXP000000067,2019-02-05,Software,IT,Maroc Telecom,300.94,MAD,Variable
EXP000000068,2019-02-05,Marketing,Growth,Office landlord,1374.07,MAD,Variable
EXP000000069,2019-02-06,Marketing,Growth,Air Maroc,469.59,MAD,Variable
EXP000000070,2019-02-06,Taxes,Admin,Local supplier,118.59,MAD,Variable
EXP000000071,2019-02-06,Supplies,Operations,Google,50.0,MAD,Variable
EXP000000072,2019-02-08,ProfessionalServices,Admin,Maroc Telecom,91.07,MAD,Variable
EXP000000073,2019-02-08,Software,IT,Microsoft,1129.3,MAD,Variable
EXP000000074,2019-02-08,Travel,Operations,Air Maroc,50.0,MAD,Variable
EXP000000075,2019-02-09,Software,IT,Orange,731.84,MAD,Variable
EXP000000076,2019-02-10,Taxes,Admin,DHL,694.42,MAD,Variable
EXP000000077,2019-02-10,Logistics,Operations,Orange,914.96,MAD,Variable
EXP000000078,2019-02-11,Supplies,Operations,Google,1266.29,MAD,Variable
EXP000000079,2019-02-11,Software,IT,ONCF,769.93,MAD,Variable
EXP000000080,2019-02-11,Travel,Operations,Meta,731.1,MAD,Variable
EXP000000081,2019-02-12,Supplies,Operations,Microsoft,923.31,MAD,Variable
EXP000000082,2019-02-12,ProfessionalServices,Admin,Meta,433.91,MAD,Variable
EXP000000083,2019-02-13,Taxes,Admin,Google,985.66,MAD,Variable
EXP000000084,2019-02-13,Travel,Operations,KPMG,956.61,MAD,Variable
EXP000000085,2019-02-13,Taxes,Admin,Office landlord,55.59,MAD,Variable
EXP000000086,2019-02-16,ProfessionalServices,Admin,Meta,1008.37,MAD,Variable
EXP000000087,2019-02-16,Software,IT,Google,476.34,MAD,Variable
EXP000000088,2019-02-17,ProfessionalServices,Admin,Maroc Telecom,862.47,MAD,Variable
EXP000000089,2019-02-18,Supplies,Operations,Microsoft,567.03,MAD,Variable
EXP000000090,2019-02-18,Taxes,Admin,Meta,995.32,MAD,Variable
EXP000000091,2019-02-18,Software,IT,KPMG,789.75,MAD,Variable
EXP000000092,2019-02-19,Utilities,Facilities,KPMG,705.53,MAD,Variable
EXP000000093,2019-02-20,Travel,Operations,Maroc Telecom,643.46,MAD,Variable
EXP000000094,2019-02-20,Travel,Operations,Maroc Telecom,1239.73,MAD,Variable
EXP000000095,2019-02-20,Utilities,Facilities,Meta,846.54,MAD,Variable
EXP000000096,2019-02-21,Software,IT,Orange,63.18,MAD,Variable
EXP000000097,2019-02-21,Software,IT,AWS,1156.11,MAD,Variable
EXP000000098,2019-02-22,Marketing,Growth,Local supplier,457.61,MAD,Variable
EXP000000099,2019-02-22,Travel,Operations,Maroc Telecom,105.88,MAD,Variable
EXP000000100,2019-02-23,Supplies,Operations,Air Maroc,1556.29,MAD,Variable
EXP000000101,2019-02-23,ProfessionalServices,Admin,Google,1470.49,MAD,Variable
EXP000000102,2019-02-23,Supplies,Operations,Deloitte,1750.08,MAD,Variable
EXP000000103,2019-02-23,Travel,Operations,Maroc Telecom,1907.03,MAD,Variable
EXP000000104,2019-02-24,Travel,Operations,Meta,1419.59,MAD,Variable
EXP000000105,2019-02-25,Taxes,Admin,Google,475.83,MAD,Variable
EXP000000106,2019-02-26,Supplies,Operations,Office landlord,50.0,MAD,Variable
EXP000000107,2019-02-26,Utilities,Facilities,Office landlord,2216.34,MAD,Variable
EXP000000108,2019-02-27,Logistics,Operations,Google,715.16,MAD,Variable
EXP000000109,2019-02-28,Salaries,RH,Payroll,49070.17,MAD,Fixed
EXP000000110,2019-02-28,Supplies,Operations,Google,637.52,MAD,Variable
EXP000000111,2019-03-01,Rent,Facilities,Office landlord,11217.13,MAD,Fixed
EXP000000112,2019-03-01,Software,IT,Google,6919.64,MAD,Fixed
EXP000000113,2019-03-01,Software,IT,Deloitte,651.48,MAD,Variable
EXP000000114,2019-03-02,Utilities,Facilities,Tax authority,930.27,MAD,Variable
EXP000000115,2019-03-02,Utilities,Facilities,Air Maroc,419.65,MAD,Variable
