date,invoice_id,customer_id,product_id,qty,unit_price_eur,discount_rate,total_eur,currency,payment_terms_days
2019-01-01,INV00000001,C0077,P010,1,149.74,0.0624,140.4,EUR,15
2019-01-01,INV00000002,C0011,P033,2,1052.88,0.0328,2036.65,EUR,45
2019-01-01,INV00000003,C0044,P028,3,273.69,0.1121,729.04,EUR,15
2019-01-01,INV00000004,C0033,P030,1,139.26,0.1502,118.34,EUR,30
2019-01-01,INV00000005,C0066,P001,2,508.53,0.0,1017.06,EUR,30
2019-01-01,INV00000006,C0002,P011,2,439.8,0.0,879.6,EUR,45
2019-01-01,INV00000007,C0083,P010,1,149.74,0.0769,138.22,EUR,0
2019-01-01,INV00000008,C0082,P032,1,149.04,0.0348,143.86,EUR,15
2019-01-01,INV00000009,C0103,P028,2,273.69,0.0567,516.34,EUR,0
2019-01-01,INV00000010,C0019,P002,2,91.99,0.0,183.98,EUR,0
2019-01-02,INV00000011,C0117,P033,3,1052.88,0.0315,3059.06,EUR,15
2019-01-02,INV00000012,C0084,P018,3,985.92,0.0,2957.76,EUR,15
2019-01-02,INV00000013,C0002,P010,3,149.74,0.018,441.15,EUR,0
2019-01-02,INV00000014,C0027,P031,1,893.72,0.0397,858.19,EUR,15
2019-01-02,INV00000015,C0046,P035,3,159.46,0.0881,436.24,EUR,45
2019-01-02,INV00000016,C0065,P011,4,439.8,0.0634,1647.59,EUR,30
2019-01-02,INV00000017,C0110,P017,1,286.97,0.0735,265.89,EUR,15
2019-01-02,INV00000018,C0012,P011,3,439.8,0.0283,1282.02,EUR,15
2019-01-02,INV00000019,C0114,P021,1,746.09,0.0553,704.8,EUR,30
2019-01-02,INV00000020,C0018,P008,4,1134.56,0.101,4080.07,EUR,45
2019-01-02,INV00000021,C0042,P020,2,718.33,0.0812,1320.07,EUR,30
2019-01-02,INV00000022,C0067,P032,4,149.04,0.0274,579.81,EUR,30
2019-01-03,INV00000023,C0007,P003,1,422.8,0.0557,399.26,EUR,15
2019-01-03,INV00000024,C0059,P007,2,479.93,0.0,959.86,EUR,45
2019-01-03,INV00000025,C0050,P014,1,389.57,0.0,389.57,EUR,30
2019-01-03,INV00000026,C0061,P034,4,420.1,0.0551,1587.75,EUR,30
2019-01-03,INV00000027,C0041,P001,1,508.53,0.1034,455.94,EUR,15
2019-01-03,INV00000028,C0051,P030,4,139.26,0.1402,478.95,EUR,30
2019-01-03,INV00000029,C0040,P003,3,422.8,0.0229,1239.3,EUR,45
2019-01-03,INV00000030,C0113,P002,1,91.99,0.0431,88.03,EUR,30
2019-01-03,INV00000031,C0087,P018,1,985.92,0.0,985.92,EUR,45
2019-01-03,INV00000032,C0103,P023,3,151.14,0.0196,444.55,EUR,30
2019-01-03,INV00000033,C0106,P012,4,476.78,0.0546,1802.9,EUR,30
2019-01-04,INV00000034,C0047,P012,2,476.78,0.0665,890.18,EUR,45
2019-01-04,INV00000035,C0076,P023,1,151.14,0.107,134.97,EUR,0
2019-01-04,INV00000036,C0073,P033,2,1052.88,0.0666,1965.51,EUR,15
2019-01-04,INV00000037,C0021,P025,5,503.87,0.0,2519.35,EUR,60
2019-01-04,INV00000038,C0075,P028,1,273.69,0.1699,227.2,EUR,30
2019-01-04,INV00000039,C0078,P020,4,718.33,0.0,2873.32,EUR,0
2019-01-05,INV00000040,C0116,P018,5,985.92,0.0386,4739.22,EUR,45
2019-01-05,INV00000041,C0032,P033,1,1052.88,0.0,1052.88,EUR,0
2019-01-05,INV00000042,C0045,P004,6,265.7,0.0393,1531.55,EUR,30
2019-01-05,INV00000043,C0029,P031,1,893.72,0.0834,819.14,EUR,30
